text,policy_area
To authorize the President to award the Medal of Honor to Doris Miller posthumously for acts of valor while a member of the Navy during World War II.,Armed Forces and National Security
To improve security at Armed Forces recruitment centers.,Armed Forces and National Security
"To amend title 38, United States Code, to establish the Veterans Choice Program of the Department
			 of Veterans Affairs to improve health care provided to veterans by the
			 Department, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to improve the benefits and services provided by the
			 Department of Veterans Affairs to women veterans, and for other purposes.",Armed Forces and National Security
"To recognize the memorial at the Navy UDT–SEAL Museum in
		  Fort Pierce, Florida, as the official national memorial of Navy SEALS and their
		  predecessors.",Armed Forces and National Security
"To prohibit the Secretary of Veterans Affairs from entering into a collective bargaining agreement
			 with a labor union that offers financial incentives to prospective
			 members.",Armed Forces and National Security
"To require the Secretary of Defense, in consultation with the Secretary of Veterans Affairs, to
			 develop guidelines regarding the use by the Secretaries of the military
			 departments and the Secretary of Veterans Affairs of unofficial sources of
			 information to determine the eligibility of a member or former member of
			 the Armed Forces for benefits and decorations when the member’s service
			 records are incomplete because of damage to the records, including records
			 damaged by a 1973 fire at the National Personnel Records Center in St.
			 Louis, Missouri.",Armed Forces and National Security
"To amend title 38, United States Code, to establish the
		  National Veterans Support Network to carry out activities to support and
		  supplement the mission of the Department of Veterans Affairs, and for other
		  purposes.",Armed Forces and National Security
"To provide flexibility for the Secretary of Veterans Affairs in caring for homeless veterans during a covered public health emergency, to direct the Secretary of Veterans Affairs to carry out a retraining assistance program for unemployed veterans, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to make certain improvements in the laws administered by the
			 Secretary of Veterans Affairs relating to health care, educational
			 assistance, and vocational rehabilitation, to establish the Veterans
			 Economic Opportunity and Transition Administration, and for other
			 purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to authorize the Secretary of Veterans Affairs to inter in national cemeteries individuals who supported the United States in Laos during the Vietnam War era.",Armed Forces and National Security
"Urging Americans and people of all nationalities to visit the American Cemeteries, Memorials and Markers.",Armed Forces and National Security
"To require a pilot program on activities under the Transition Assistance Program for a reduction in suicide among veterans, and for other purposes.",Armed Forces and National Security
"To provide procedures for the selection of the Commandant
		  of the Air Force Institute of Technology, and for other
		  purposes.",Armed Forces and National Security
"To authorize the conveyance of a portion of the campus of
		  the Illiana Health Care System of the Department of Veterans Affairs to
		  Danville Area Community College of Vermilion County, Illinois.",Armed Forces and National Security
"To increase, effective as of December 1, 2006, the rates of disability compensation for veterans with service-connected disabilities and the rates of dependency and indemnity compensation for survivors of certain service-connected disabled veterans, and for other purposes.",Armed Forces and National Security
"Recognizing the Defense Intelligence Agency
		  on its 50th Anniversary.",Armed Forces and National Security
"To amend title 38, United States Code, to
		  waive housing loan fees for certain veterans with service-connected
		  disabilities called to active service.",Armed Forces and National Security
"Recognizing the 11 African-American soldiers of the 333rd Field Artillery Battalion who were
			 massacred in Wereth, Belgium, during the Battle of the Bulge in December
			 1944.",Armed Forces and National Security
"To amend title 38, United States Code, to ensure that members of a reserve component who are pursuing a course of education using educational assistance administered by the Secretary of Veterans Affairs are accommodated by the institution of higher learning for an absence caused by performing certain training.",Armed Forces and National Security
"To amend the Foreign Intelligence Surveillance Act of
		  1978 to provide additional protections for privacy and for other
		  purposes.",Armed Forces and National Security
"To establish the Director of National Intelligence as a cabinet level position in the Executive Office of the President to oversee budget, operations, and personnel of the entire intelligence community of the Federal Government.",Armed Forces and National Security
"To direct the Secretary of Veterans Affairs to conduct a
		  study on suicides among veterans.",Armed Forces and National Security
To provide improved benefits and procedures for the transition of members of the Armed Forces from combat zones to noncombat zones and for the transition of veterans from service in the Armed Forces to civilian life.,Armed Forces and National Security
To authorize the Secretary of Veterans Affairs to sell Pershing Hall.,Armed Forces and National Security
"Expressing the sense of the Senate that the
		  memorial park on Hero Street USA, in Silvis, Illinois, should be recognized as
		  Hero Street Memorial Park and should continue to be supported as a park by the
		  Town of Silvis at no cost to United States taxpayers.",Armed Forces and National Security
"To amend title 38, United States Code, to expand the authority of the Secretary of Veterans Affairs
			 to remove senior executives of the Department of Veterans Affairs for
			 performance or misconduct to include removal of certain other employees of
			 the Department, and for other purposes.",Armed Forces and National Security
"To prohibit funds available for the United States Armed Forces to be obligated or expended for
			 introduction of United States Armed Forces into hostilities, and for other
			 purposes.",Armed Forces and National Security
"To award a Congressional Gold Medal to the female telephone operators of the Army Signal Corps, known as the Hello Girls.",Armed Forces and National Security
"Recognizing the crucial role of assistance dogs in helping wounded veterans live more independent lives, expressing gratitude to The Tower of Hope, and supporting the goals and ideals of creating a Tower of Hope Day.",Armed Forces and National Security
"To establish a pilot program on partnership agreements to construct new facilities for the
			 Department of Veterans Affairs.",Armed Forces and National Security
"To amend title 10, United States Code, to require emergency contraception to be included on the uniform formulary of pharmaceutical agents of the pharmacy benefits program of the Department of Defense.",Armed Forces and National Security
"Honoring the 100th anniversary of Fort Benning in Columbus, Georgia.",Armed Forces and National Security
"To amend title 10, United States Code, to modify the
		  per-fiscal year calculation of days of certain active duty or active service
		  used to reduce the minimum age at which a member of a reserve component of the
		  uniformed services may retire for non-regular service.",Armed Forces and National Security
To provide for the appointment of Ulysses S. Grant to the grade of General of the Armies of the United States.,Armed Forces and National Security
"Expressing support for the designation and
		  goals of Hire a Veteran Week and encouraging the President to
		  issue a proclamation supporting those goals.",Armed Forces and National Security
"Honoring the service and sacrifice of the
		  members of the United States Armed Forces in Operation Iraqi Freedom and
		  Operation New Dawn.",Armed Forces and National Security
"To require the Secretary of Veterans Affairs to conduct a study on matters relating to the claiming
			 and interring of unclaimed remains of veterans, and for other purposes.",Armed Forces and National Security
"To authorize appropriations for fiscal year
		  2008 for military activities of the Department of Defense, for military
		  construction, and for defense activities of the Department of Energy, to
		  prescribe military personnel strengths for such fiscal year, and for other
		  purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to authorize veterans who are entitled to educational assistance under the Post-9/11 Educational Assistance Program of the Department of Veterans Affairs to use such entitlement to participate in a career transition internship program for veterans.",Armed Forces and National Security
"To require the Secretary of Defense to submit to Congress a report on victims in military criminal
			 investigative organization reports, and for other purposes.",Armed Forces and National Security
"To improve the access of veterans to medical services from the Department of Veterans Affairs, and
			 for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to provide for the
		  entitlement of surviving spouses of members of the Armed Forces who die while
		  serving on active duty to educational assistance under the Post-9/11
		  Educational Assistance Program, and for other purposes.",Armed Forces and National Security
"To provide for free mailing privileges for personal correspondence and parcels sent to members of
			 the Armed Forces serving on active duty in Iraq, Afghanistan, or other
			 designated hostile fire areas.",Armed Forces and National Security
"Expressing support for designation of May
		  1, 2010, as “Silver Star Service Banner Day”.",Armed Forces and National Security
"Honoring military children during the
		  National Month of the Military Child.",Armed Forces and National Security
"To amend title 38, United States Code, to codify the requirements for appointment, qualifications,
			 and pay for therapeutic medical physicists of the Department of Veterans
			 Affairs, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to improve the processes to approve programs of education for purposes of the educational assistance programs of the Department of Veterans Affairs, and for other purposes.",Armed Forces and National Security
"To direct the Secretary of Veterans Affairs to improve long-term care provided to veterans by the Department of Veterans Affairs, and for other purposes.",Armed Forces and National Security
"To prevent agencies from using unmanned aerial vehicles to conduct surveillance of United States citizens, and for other purposes.",Armed Forces and National Security
"Supporting the goals and ideals of an
		  annual National Yellow Ribbon Day.",Armed Forces and National Security
"To amend title 38, United States Code, to include contracts and grants for residential care for veterans in the exception to the requirement that the Federal Government recover a portion of the value of certain projects.",Armed Forces and National Security
"To direct the Secretary of Veterans Affairs to enter into a contract with a non-government entity to conduct a survey of individuals who have used or are using their entitlement to educational assistance under the educational assistance programs administered by the Secretary of Veterans Affairs, and for other purposes.",Armed Forces and National Security
"To direct the Comptroller General of the United States to draft a report identifying reasons for the low number of Hispanic officers and members of the Armed Forces in leadership positions, and recommendations to increase such numbers.",Armed Forces and National Security
To direct the Secretary of Veterans Affairs to establish a pilot program to furnish hyperbaric oxygen therapy to a veteran who has a traumatic brain injury or post-traumatic stress disorder.,Armed Forces and National Security
"To amend title 10, United States Code, to improve protections for a member of the Armed Forces who
			 is a survivor of a sex-related offense during military service regarding
			 the separation, or the characterization of any separation, of the member
			 from the Armed Forces, to make additional changes to the authorities and
			 procedures of boards for the correction of military records and discharge
			 review boards, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to reimburse veterans for the cost of emergency medical
			 transportation to a Federal facility, and for other purposes.",Armed Forces and National Security
"To amend the Insurrection Act to curtail violations against the civil liberties of the people of the United States, and for other purposes.",Armed Forces and National Security
"To extend the provisions of the Protect America Act of
		  2007.",Armed Forces and National Security
"To exempt certain Department of Defense civilian positions from any furlough as a result of a lapse in discretionary appropriations, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to increase the priority for enrollment of medal of honor
			 recipients in the health care system of the Department of Veterans
			 Affairs, and for other purposes.",Armed Forces and National Security
Commemorating the 100th anniversary of the 3d Infantry Division.,Armed Forces and National Security
"To amend title 38, United States Code, to make permanent the authority of the Secretary of Veterans Affairs to provide financial assistance for supportive services for very low-income veteran families in permanent housing.",Armed Forces and National Security
"To prohibit the transfer or release of individuals detained at United States Naval Station,
			 Guantanamo Bay, Cuba, to state sponsors of terrorism.",Armed Forces and National Security
"To amend title 10, United States Code, to provide for the Purple Heart to be awarded to prisoners of war who die in captivity under circumstances not otherwise establishing eligibility for the Purple Heart.",Armed Forces and National Security
To direct the Secretary of Defense to compensate members of the Armed Forces for certain taxes deferred pursuant to Internal Revenue Service Notice 2020–65.,Armed Forces and National Security
"Expressing the sense of Congress that a
		  commemorative postage stamp should be issued to honor the crew of the USS Mason
		  DE–529 who fought and served during World War II.",Armed Forces and National Security
"To amend title 38, United States Code, to extend the Native American veteran housing loan pilot program.",Armed Forces and National Security
"To direct the Secretary of Veterans Affairs to carry out
		  a pilot program to utilize tele-health platforms to assist in the treatment of
		  veterans living in rural areas who suffer from post traumatic stress disorder
		  or traumatic brain injury.",Armed Forces and National Security
"Commemorating the 71st anniversary of the
		  creation of the Special Air Unit of the 1st American Volunteer
		  Group (AVG), which became known as the Flying Tigers.",Armed Forces and National Security
"Designating the week of November 6 through
		  November 12, 2012, as “Veterans’ Education Awareness Week.” ",Armed Forces and National Security
"To establish a mail-order pharmacy pilot program for
		  TRICARE beneficiaries.",Armed Forces and National Security
"To amend title 38, United States Code, to make certain improvements in the information security of the Department of Veterans Affairs, and for other purposes.",Armed Forces and National Security
"To amend title 10, United States Code, to direct the
		  Secretary of Defense to prohibit the use of gambling devices on Department of
		  Defense property.",Armed Forces and National Security
Recognizing the 125th Anniversary of the Indiana Veterans’ Home.,Armed Forces and National Security
"Expressing support for designation of March
		  29 as Vietnam Veterans Day.",Armed Forces and National Security
"Recognizing the 60th anniversary of the
		  outbreak of the Korean War and reaffirming the United States-Korea
		  alliance.",Armed Forces and National Security
To require a demonstration program on the accession as Air Force officers of candidates with auditory impairments.,Armed Forces and National Security
"To provide alternative retired pay rates under title 10, United States Code, and alternative disability compensation rates under title 38, United States Code, for members of the Armed Forces with a combat-related disability, with such rates based on the average monthly salary for high school graduates in the United States, and for other purposes.",Armed Forces and National Security
"To designate the Department of Veterans Affairs Medical
		  Center in Albuquerque, New Mexico, as the Raymond G. Murphy Department
		  of Veterans Affairs Medical Center.",Armed Forces and National Security
"To amend title 36, United States Code, to encourage the nationwide observance of two minutes of
 silence each Veterans Day.",Armed Forces and National Security
"Providing official recognition of the massacre of 11 African-American soldiers of the 333rd Field
			 Artillery Battalion of the United States Army who had been captured near
			 Wereth, Belgium, during the Battle of the Bulge on December 17, 1944.",Armed Forces and National Security
"Recognizing the erroneous and misleading allegations in the October 19, 2020, Public Statement on the Hunter Biden Emails signed by 51 former intelligence officials.",Armed Forces and National Security
"To require a feasibility study regarding establishment within the Department of Defense of a designated central program office, headed by a senior Department official, responsible for overseeing all academic engagement programs focusing on creating cyber talent across the Department, and for other purposes.",Armed Forces and National Security
"To amend the Department of Veterans Affairs Health Care
		  Programs Enhancement Act of 2001 and title 38, United States Code, to require
		  the provision of chiropractic care and services to veterans at all Department
		  of Veterans Affairs medical centers and to expand access to such care and
		  services, and for other purposes.",Armed Forces and National Security
"To require the Secretary of Veterans Affairs to provide financial assistance to eligible entities
			 to provide and coordinate the provision of post-traumatic stress disorder
			 prevention services for veterans through the award of grants to such
			 entities, and for other purposes.",Armed Forces and National Security
"To place reasonable limitations on the use of National
		  Security Letters, and for other purposes.",Armed Forces and National Security
"To extend the life of the Minuteman III and redirect savings from the development of the new ground-based strategic deterrent program toward the development of a universal coronavirus vaccine, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to recognize the service in the reserve components of
			 certain persons by honoring them with status as veterans under law.",Armed Forces and National Security
"To provide for certain improvements in the laws relating
		  to housing for veterans, and for other purposes.",Armed Forces and National Security
"Honoring the life and career of George
		  Hickman.",Armed Forces and National Security
"To require the Secretary of Veterans Affairs to provide
		  free credit monitoring and credit reports for veterans and others affected by
		  the theft of veterans’ personal data, to ensure that such persons are
		  appropriately notified of such thefts, and for other purposes.",Armed Forces and National Security
"To provide for the protection of members of the United States Armed Forces and for their withdrawal from Iraq by December 31, 2007.",Armed Forces and National Security
"To require the Secretary of Defense to establish a program to carry out minor military construction projects to construct child development centers and to provide education and treatment services for infant and early childhood mental health, and for other purposes.",Armed Forces and National Security
"To amend title 36, United States Code, to designate the Honor and Remember Flag created by Honor
			 and Remember, Inc., as an official symbol to recognize and honor members
			 of the Armed Forces who died in service to the United States, and for
			 other purposes.",Armed Forces and National Security
"To amend the Economic Stimulus Act of 2008 to provide for
		  a temporary increase in the maximum loan guaranty amount for housing loans
		  guaranteed by the Secretary of Veterans Affairs.",Armed Forces and National Security
"To direct the Secretary of Veterans Affairs to ensure that each medical facility of the Department
			 of Veterans Affairs complies with requirements relating to scheduling
			 veterans for health care appointments, to improve the uniform application
			 of directives of the Department, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to authorize per diem payments under comprehensive service
			 programs for homeless veterans to furnish care to dependents of homeless
			 veterans, and for other purposes.",Armed Forces and National Security
"Honoring the members of the military and
		  intelligence community who carried out the mission that killed Osama bin Laden,
		  and for other purposes.",Armed Forces and National Security
"Recognizing the heroic efforts of the West Virginia National Guard and local responders for their work rescuing 17 individuals from a downed military helicopter on a rugged, snow-covered mountain on the Pocahontas-Randolph county line.",Armed Forces and National Security
"To better connect current and former members of the Armed Forces with employment opportunities by consolidating duplicative Federal Government Internet websites into a single portal, to conserve resources by merging redundant and competing programs, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to require the Secretary of Veterans Affairs to periodically review the automatic maximum coverage under the Servicemembers' Group Life Insurance program and the Veterans' Group Life Insurance program, and for other purposes.",Armed Forces and National Security
"To establish a permanent community care program for veterans, to establish a commission for the
			 purpose of making recommendations regarding the modernization or
			 realignment of facilities of the Veterans Health Administration, to
			 improve construction of the Department of Veterans Affairs, to make
			 certain improvements in the laws administered by the Secretary of Veterans
			 Affairs relating to the home loan program of the Department of Veterans
			 Affairs, and for other purposes.",Armed Forces and National Security
"To direct the Secretary of Veterans Affairs to conduct a
		  study of the accuracy of expiration dates on certain prescription drugs
		  maintained by the Department of Veterans Affairs.",Armed Forces and National Security
"Supporting the designation of September 15, 2023, as National Concussion Awareness Day.",Health
"Recognizing that women are equally affected
		  by colon cancer.",Health
"To amend the Patient Protection and Affordable Care Act to preserve the option of States to implement health care marketplaces, and for other purposes.",Health
"Expressing the sense of the Congress
		  concerning contraceptives for women.",Health
"To amend title XIX of the Social Security Act to allow for medical assistance under Medicaid for
			 inmates during the 30-day period preceding release from a public
			 institution.",Health
"To amend part B of title XVIII of the Social Security Act
		  to provide coverage for the shingles vaccine under the Medicare
		  Program.",Health
"To amend the Public Health Service Act to provide for treatment of certain respiratory protective devices as covered countermeasures for purposes of targeted liability protections for pandemic and epidemic products and security countermeasures, and for other purposes.",Health
"To amend title XXVII of the Public Health Service Act, the Employee Retirement Income Security Act
			 of 1974, the Internal Revenue Code of 1986, and title XI of the Social
			 Security Act to prevent certain cases of out-of-network surprise medical
			 bills, strengthen health care consumer protections, and improve health
			 care information transparency, and for other purposes.",Health
"To stimulate social policy and community
		  environments to improve health by encouraging policies and programs to improve
		  community health by policy and design, and for other purposes.",Health
"To amend the Public Health Service Act to provide for a public awareness campaign with respect to human papillomavirus, and for other purposes.",Health
"To amend part B of title XVIII of the Social Security Act to exclude customary prompt pay discounts
			 from manufacturers to wholesalers from the average sales price for drugs
			 and biologicals under Medicare, and for other purposes.",Health
To amend title XXVII of the Public Health Service Act to eliminate the short-term limited duration insurance exemption with respect to individual health insurance coverage.,Health
To provide temporary licensing reciprocity for telehealth and interstate health care treatment.,Health
"To authorize the Secretary of Health and Human Services, acting through the Director of the Center for Mental Health Services of the Substance Abuse and Mental Health Services Administration, to award grants to implement innovative approaches to securing prompt access to appropriate follow-on care for individuals who experience an acute mental health episode and present for care in an emergency department, and for other purposes.",Health
"To advance treatment and cures for blindness and other retinal conditions and to promote
			 competitiveness in the United States through a pilot program to increase
			 funding for translational research, and for other purposes.",Health
"To direct the Comptroller General to conduct a study and submit a report to Congress on best
			 practices in use by Federal departments and agencies to reduce opioid
			 usage following medical procedures.",Health
"To amend the Public Health Service Act to improve the
		  National Program of Cancer Registries by expanding data collection and allowing
		  data sharing for public health objectives, while preserving the confidentiality
		  of patients, and for other purposes. ",Health
"To amend the Federal Food, Drug, and Cosmetic Act to
		  prevent a State or political subdivision thereof from conducting or requiring
		  duplicative inspections of establishments in which a drug or device is
		  manufactured, processed, packed, or held by a manufacturer or wholesale
		  distributor of the drug or device.",Health
To prohibit Federal funding of Planned Parenthood Federation of America.,Health
"To amend and reauthorize the controlled substance monitoring program under section 399O of the
			 Public Health Service Act.",Health
"To amend the Federal Food, Drug, and Cosmetic Act to allow the sponsor of a drug to use a non-animal test as an alternative to an animal test for purposes of demonstrating the safety and effectiveness of a drug if such approach satisfies the requirements of the applicable statutes and regulations.",Health
"To direct the Secretary of Health and Human Services to
		  publish physical activity guidelines for the general public, and for other
		  purposes. ",Health
To waive the essential health benefits requirements for certain States.,Health
"To repeal the Patient Protection and Affordable Care Act and the Health Care and Education
			 Reconciliation Act of 2010.",Health
"To amend title XVIII of the Social Security Act to preserve access to rehabilitation innovation
			 centers under the Medicare program. ",Health
"To direct the Secretary of Health and Human Services to submit to the Congress on a biennial basis
			 a national plan to reduce the rate of maternal mortality.",Health
To increase access to pre-exposure prophylaxis to reduce the transmission of HIV.,Health
"To amend the Public Health Service Act with regard to research on asthma, and for other purposes.",Health
To amend title XVIII of the Social Security Act to increase inpatient hospital payments under the Medicare Program to Puerto Rico hospitals.,Health
Expressing the sense of the House of Representatives that there is a critical need to increase awareness and education about heart disease and the risk factors of heart disease among women.,Health
"To provide health care liability reform, and for other
		  purposes.",Health
"To amend section 505 of the Federal Food, Drug, and Cosmetic Act to provide incentives for the
			 development of new combination drugs.",Health
"To amend the Biologics Price Competition and Innovation Act of 2009 to streamline the transition of
			 certain products from approval as a drug to licensure as a biological
			 product, and for other purposes.",Health
"To amend title XVIII of the Social Security Act to extend the rural add-on payment in the Medicare
			 home health benefit, and for other purposes.",Health
To amend the Public Health Service Act to limit the liability of health care professionals who volunteer to provide health care services in response to a disaster.,Health
To substantially restrict the use of animal testing for cosmetics.,Health
To ensure greater affordability of prescription drugs.,Health
"To amend the Public Health Service Act to provide for the
		  licensing of biosimilar and biogeneric biological products, and for other
		  purposes.",Health
Supporting the designation of April 2019 as Parkinson’s Awareness Month.,Health
"To amend the Public Health Service Act to create a National Neuromyelitis Optica Consortium to provide grants and coordinate research with respect to the causes of, and risk factors associated with, neuromyelitis optica, and for other purposes.",Health
"Recognizing the week of April 11 through April 17, 2019, as Black Maternal Health Week to bring
			 national attention to the maternal health crisis in the Black community
			 and the importance of reducing maternal mortality and morbidity among
			 Black women.",Health
"To expand the research, prevention, and awareness
		  activities of the Centers for Disease Control and Prevention and the National
		  Institutes of Health with respect to pulmonary fibrosis, and for other
		  purposes.",Health
To amend title XXXIII of the Public Health Service Act with respect to flexibility and funding for the World Trade Center Health Program.,Health
"To amend titles XVIII and XIX of the Social Security Act
		  to improve oversight of nursing facilities under the Medicare and Medicaid
		  programs by preventing inappropriate influence over surveyors, and for other
		  purposes.",Health
"To provide that no Federal funds may be expended for the

		  payment or reimbursement of a drug that is prescribed for the treatment of

		  sexual or erectile dysfunction.",Health
To prohibit the use of taxpayer dollars to support animal experimentation in the laboratories of adversarial nations.,Health
To amend title XVIII of the Social Security Act to remove the cap on disproportionate share adjustment percentages for certain rural hospitals.,Health
To amend the Internal Revenue Code of 1986 to repeal the individual and employer health insurance mandates.,Health
"To amend title XIX of the Social Security Act to provide States with an option to provide medical
			 assistance to individuals between the ages of 22 and 64 for inpatient
			 services to treat substance use disorders at certain facilities, and for
			 other purposes.",Health
Expressing support for the goals and ideas of Stomach Cancer Awareness Month.,Health
To amend title XVIII of the Social Security Act to codify and permanently extend the Medicare hospital wage index imputed rural floor.,Health
"Designating September 2009 as
		  National Prostate Cancer Awareness Month.",Health
"To amend the Public Health Service Act to limit the liability of health care professionals who
			 volunteer to provide health care services in response to a disaster.",Health
"To prioritize funding for the National Institutes of Health to discover treatments and cures, to
			 maintain global leadership in medical innovation, and to restore the
			 purchasing power the NIH had after the historic doubling campaign that
			 ended in fiscal year 2003.",Health
"To amend title XXI of the Social Security Act to extend and improve the Children’s Health Insurance Program, and for other purposes.",Health
To improve the identification and support of children and families who experience trauma.,Health
"To amend the Public Health Service Act (42 U.S.C. 201 et seq.) to authorize funding for maternal mortality review committees to promote representative community engagement, and for other purposes.",Health
"To amend title XXVII of the Public Health Service Act to
		  permit a health insurance issuer an alternative to guaranteed issue of health
		  insurance coverage in the small group market in order to promote affordable
		  access to portable health insurance coverage.",Health
"To impose an emergency tax on the increase in wealth of billionaires during the COVID–19 pandemic in order to pay for all of the out-of-pocket healthcare expenses of the uninsured and under-insured, including prescription drugs, for one year.",Health
"To exempt employers from any excise tax and certain suits
		  and penalties in the case of a failure of a group health plan to provide
		  coverage to which an employer objects on the basis of religious belief or moral
		  conviction.",Health
"To amend the Public Health Service Act to

		  provide liability protections for volunteer practitioners at health centers

		  under section 330 of such Act.",Health
"To provide protections and services to certain
		  individuals after the terrorist attack on September 11, 2001, in New York City,
		  in the State of New York, and for other purposes.",Health
To amend title XVIII of the Social Security Act to provide for Medicare coverage of multi-cancer early detection screening tests.,Health
To revise and extend provisions under the Garrett Lee Smith Memorial Act.,Health
"To increase reporting requirements and transparency requirements in the 340B Drug Pricing Program, and for other purposes.",Health
"To amend titles XVIII and XIX of the Social Security Act to make improvements to the treatment of
			 the United States territories under the Medicare and Medicaid programs,
			 and for other purposes.",Health
"To authorize the appropriation of funds to the Centers for Disease Control and Prevention for
			 conducting or supporting research on firearms safety or gun violence
			 prevention.",Health
"To prohibit the use of funds for
		  implementation or enforcement of any Federal mandate to purchase health
		  insurance.",Health
To amend the Public Health Service Act to authorize grants for treatment and support services for Alzheimer’s patients and their families.,Health
"To direct the Secretary of Health and Human Services, acting through the Administrator of the Health Resources and Services Administration, to establish a grant program to be known as the Mental Health Licensure Portability Program to award grants to eligible entities, and for other purposes.",Health
"To amend title XIX of the Social Security Act to delay the reduction in Federal medical assistance percentage for Medicaid personal care services furnished without an electronic visit verification system, and for other purposes.",Health
"To promote the development of health care cooperatives
		  that will help businesses to pool the health care purchasing power of
		  employers, and for other purposes. ",Health
"To amend title XIX of the Social Security Act to permit
		  States, at their option, to require certain individuals to present satisfactory
		  documentary evidence of proof of citizenship or nationality for purposes of
		  eligibility for Medicaid, and for other purposes.",Health
"To amend the Public Health Service Act to expand the authority of the Secretary of Health and Human
			 Services to permit nurses to practice in health care facilities with
			 critical shortages of nurses through programs for loan repayment and
 scholarships for nurses.",Health
"To amend the Public Health Service Act to establish the
		  Nurse-Managed Health Clinic Investment program, and for other
		  purposes.",Health
"To amend the Public Health Service Act to reauthorize school-based health centers, and for other
			 purposes.",Health
"To require certain civil penalties to be transferred to a fund through which amounts are made available for the Gabriella Miller Kids First Pediatric Research Program at the National Institutes of Health, and for other purposes.",Health
"To make adjustments, including by amending title XVIII of the Social Security Act, relating to
			 competitive bidding program and durable medical equipment under the
			 Medicare program, to amend such title to establish a DMEPOS market pricing
			 program demonstration project, and for other purposes.",Health
"To establish performance-based quality measures, to
		  establish limitations on recovery in health care lawsuits based on compliance
		  with best practice guidelines, and to provide grants to States for
		  administrative health care tribunals.",Health
Supporting the goals and ideals of National Public Health Week.,Health
"To amend titles XVIII and XIX of the Social Security Act to improve the quality of health care
			 furnished in rural areas, and for other purposes.",Health
"To provide for an earlier start for State health care
		  coverage innovation waivers under the Patient Protection and Affordable Care
		  Act, and for other purposes.",Health
To provide payments for home health services furnished via visual or audio telecommunication systems during an emergency period.,Health
"To amend title XVIII of the Social Security Act to
		  require hospitals reimbursed under the Medicare system to establish and
		  implement security procedures to reduce the likelihood of infant patient
		  abduction and baby switching, including procedures for identifying all infant
		  patients in the hospital in a manner that ensures that it will be evident if
		  infants are missing from the hospital.",Health
"To amend title XVIII of the Social Security Act to adjust the Medicare hospital readmission
			 reduction program to respond to patient disparities, and for other
			 purposes.",Health
"To amend section 1341 of the Patient Protection and Affordable Care Act to repeal the funding mechanism for the transitional reinsurance program in the individual market, and for other purposes.",Health
"To amend title XVIII of the Social Security Act to
		  transition to the use of metropolitan statistical areas as fee schedule areas
		  for the physician fee schedule in California under the Medicare
		  program.",Health
"To amend title XI of the Social Security Act to provide
		  for the annual mailing of statements of Medicare beneficiary part A
		  contributions and benefits in coordination with the annual mailing of Social
		  Security account statements.",Health
"To amend title XVIII of the Social Security Act to count resident time spent in a critical access
			 hospital as resident time spent in a nonprovider setting for purposes of
			 making Medicare direct and indirect graduate medical education payments.",Health
"To address maternity care shortages and promote optimal maternity outcomes by expanding educational opportunities for midwives, and for other purposes.",Health
"To amend title XVIII of the Social Security Act to provide for the coverage of marriage and family therapist services and mental health counselor services under part B of the Medicare program, and for other purposes.",Health
"To restore the application of the 340B drug discount
		  program to orphan drugs with respect to children's hospitals.",Health
"To amend the Public Health Service Act to establish a
		  nationwide health insurance purchasing pool for small businesses and the
		  self-employed that would offer a choice of private health plans and make health
		  coverage more affordable, predictable, and accessible.",Health
To establish a public health plan.,Health
To authorize the appropriation of funds to the Centers for Disease Control and Prevention for conducting or supporting research on firearms safety or gun violence prevention.,Health
"Expressing support for the designation of May 10, 2021, as National Asian American, Native Hawaiian, and Pacific Islander Mental Health Day and acknowledging the importance of raising awareness of mental health and improving the quality of mental health services for the Asian American, Native Hawaiian, and Pacific Islander community.",Health
To amend title XXVII of the Public Health Service Act to improve the affordability of health insurance coverage for small employers.,Health
To amend title XIX of the Social Security Act to encourage appropriate prescribing under Medicaid for victims of opioid overdose.,Health
To provide for further comprehensive research at the National Institute of Neurological Disorders and Stroke on unruptured intracranial aneurysms.,Health
"To amend title XXVII of the Public Health Service Act to provide for a special enrollment period for pregnant women, and for other purposes.",Health
To establish a grant program to support schools of medicine and schools of osteopathic medicine in underserved areas.,Health
"To amend the Public Health Service Act to authorize a program on children and the media within the
			 National Institutes of Health to study the health and developmental
			 effects
			 of technology on infants, children, and adolescents.",Health
"Supporting the goals and ideals of Multiple
		  Sclerosis Awareness Week. ",Health
To provide that under the Older Americans Act of 1965 the State Long-Term Care Ombudsman shall have continuing direct access (or other access through the use of technology) to residents of long-term care facilities to provide services during any portion of the COVID-19 public health emergency declared under section 319 of the Public Health Service Act (42 U.S.C. 247d) that occurs in fiscal year 2020.,Health
"To make improvements to the account for the State response to the opioid abuse crisis to improve
			 tribal health.",Health
